Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Label
0.5745071229516849,0.4792603548243223,0.5971532807151039,0.7284544784612038,0.4648769937914996,0.4648794564576229,0.7368819223261087,0.6151152093729363,0.42957884210975716,0.5813840065378947,0.43048734607813066,0.4301405369644615,0.5362943407349051,0.21300796330133032,0.24126232512304507,0.4156568706138541,0.3480753319498364,0.547137099889291,0.3637963886718184,0.2881544447997063,2.0
0.7198473153382331,0.46613355492701963,0.5101292307031886,0.2862877720679815,0.4183425913212226,0.5166383884564799,0.3273509633866546,0.5563547027518508,0.40990419651217924,0.4562459375310085,0.4097440081655905,0.7778417276763406,0.4979754162893099,0.34134336065661497,0.6233817368154784,0.3168734525043467,0.5313295392507134,0.2060494814180337,0.3007720926652354,0.5295291853803685,2.0
0.6107699869993115,0.5257052421784956,0.4826527576417639,0.4548344456616067,0.2782217014448859,0.3920233687407937,0.4309041843560319,0.6585683339328373,0.5515427434352692,0.2355439766955899,0.5486125954092193,0.44223765793755254,0.3984616999541062,0.5917514433261302,0.6546499283743926,0.6396920178674298,0.37411737151660424,0.45361814362231784,0.5496895147105346,0.6463317690683539,0.0
0.4281238643232065,0.4721511535004274,0.33404975389909575,0.3205690063878994,0.6218788733591297,0.7034360042856235,0.48919848176294994,0.6505299346838036,0.5542454037571451,0.40323203680923136,0.554209340826262,0.7307054849698954,0.4946260941335073,0.7346965483721009,0.10703823438653837,0.6232853756562836,0.5130570602357257,0.4551488974301199,0.5137641164803254,0.2018646628098661,0.0
0.4670492168243732,0.5535668857267619,0.7216841067112274,0.4222594672589529,0.37872595956602184,0.42473644346231954,0.6373103176553111,0.5493126664489527,0.4205359694349442,0.5769901149670034,0.5145616324022061,0.6452967485799334,0.39469203591839713,0.4508506780103348,0.44118377703017636,0.2804727577801822,0.5444180415596864,0.5391582908269834,0.5007670184963692,0.46481192999372795,3.0
0.2876943886924379,0.43690320158519613,0.4485928225209846,0.3796584096167572,0.47580714325009865,0.5606076285221807,0.7829278851815795,0.5261866719247759,0.5386325586084146,0.4888331126350749,0.2121843177051438,0.49602291868261744,0.509034531491154,0.8694863168727929,0.4711458552828316,0.5452321013500419,0.4947932345442135,0.3246982943570702,0.671423422177253,0.6127899549030161,2.0
0.618654792056457,0.36359188178078916,0.7104191466404148,0.28972234058115787,0.5880285640700406,0.8285683438714968,0.35141955123039675,0.4150553405595842,0.5149477047631462,0.4244786518825701,0.2674004853400801,0.5102844462209041,0.34065444294108427,0.5710388645952772,0.3620863648649295,0.7324901607526308,0.38251200614956443,0.4516907725691487,0.6220275826054504,0.31537035253490675,1.0
0.5341189901906194,0.6960714131423642,0.2588775148158159,0.5276950787798457,0.5389824191372635,0.6172734307665966,0.3144573933682877,0.3019315080373586,0.5782912348425346,0.544547700984978,0.5375739275518815,0.5519672314245464,0.3979962917632264,0.5348380545741506,0.5439608709948022,0.39284728729604484,0.7798661766717134,0.5710749381367681,0.3213044754196027,0.5984830412950745,3.0
0.3537977494659018,0.6180626905613678,0.6737893368511106,0.3768976522472434,0.6445064193866483,0.5619171390404747,0.6233090239991735,0.784518947398092,0.46319178259956945,0.3869395753463766,0.3665728355561715,0.37762845725518424,0.48843474358788436,0.5511727962224966,0.5415036198995029,0.6240774873554036,0.501950283781686,0.7180301115735975,0.46030147501430657,0.9080253749884428,0.0
0.5938501021647509,0.3714263665375576,0.33936612529083315,0.5723708622864778,0.4664805822011224,0.6071000741138138,0.5709856436860317,0.4890756631014691,0.37298094228973927,0.2727729162971203,0.43302275718994687,0.6284598191485209,0.5321140616195306,0.3131391831932018,0.5259771388776773,0.5577976069593256,0.3674213845698301,0.5230587658918292,0.5087313077669,0.3285544553254065,0.0
